SurveyID,Country,Ecoregion,SiteCode,SiteLat,SiteLong,geom,SurveyDate,Depth,Apogon imberbis,Atherina hepsetus,Boops boops,Centrolabrus exoletus,Chelon labrosus,Chromis chromis,Chrysophrys auratus,Coris julis,Ctenolabrus rupestris,Dentex dentex,Diplodus annularis,Diplodus cervinus,Diplodus puntazzo,Diplodus sargus,Diplodus vulgaris,Epinephelus costae,Epinephelus marginatus,Gobius bucchichi,Gobius xanthocephalus,Labrus merula,Labrus viridis,Mullus surmuletus,Muraena helena,Oblada melanura,Octopus vulgaris,Pagrus pagrus,Parablennius pilicornis,Parablennius rouxi,Pomadasys incisus,Sarpa salpa,Sciaena umbra,Seriola dumerili,Serranus cabrilla,Serranus scriba,Spicara maena,Spicara smaris,Spondyliosoma cantharus,Symphodus cinereus,Symphodus doderleini,Symphodus mediterraneus,Symphodus melanocercus,Symphodus ocellatus,Symphodus roissali,Symphodus rostratus,Symphodus tinca,Thalassoma pavo,Tripterygion delaisi
912349140,Spain,Alboran Sea,AND38,36.7,-3.41,POINT (-3.41 36.7),2015-06-27T14:00:00Z,6.5,6,0,64,0,0,161,0,39,0,0,0,4,0,1,6,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,1,0,23,0
912349182,Spain,Alboran Sea,AND61,35.94,-3.03,POINT (-3.03 35.94),2015-09-01T14:00:00Z,4.2,0,0,6,0,0,3200,0,83,0,0,0,0,0,10,8,1,6,0,0,0,0,0,0,37,0,0,1,0,0,88,0,0,3,3,0,0,0,0,0,2,0,3,13,0,8,395,0
912349183,Spain,Alboran Sea,AND61,35.94,-3.03,POINT (-3.03 35.94),2015-09-01T14:00:00Z,5.0,0,0,7,0,0,3238,0,51,0,0,0,0,0,8,1,1,5,0,0,0,0,0,0,42,0,0,1,0,0,55,0,0,3,6,0,0,0,0,0,0,0,2,3,0,8,351,0
912349163,Spain,Alboran Sea,AND50,36.51,-4.64,POINT (-4.64 36.51),2015-06-30T14:00:00Z,2.5,0,0,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
912349184,Spain,Alboran Sea,AND62,36.72,-3.36,POINT (-3.36 36.72),2015-08-17T14:00:00Z,8.0,8,0,0,0,0,186,0,44,0,0,21,1,0,15,37,1,3,4,0,0,0,7,0,0,0,0,5,0,0,0,0,0,3,7,0,0,0,0,0,9,0,0,0,0,29,22,0
912349185,Spain,Alboran Sea,AND62,36.72,-3.36,POINT (-3.36 36.72),2015-08-17T14:00:00Z,9.8,9,0,0,0,0,489,0,406,0,0,0,2,0,39,82,1,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,10,0,0,0,0,7,0,0
912349186,Spain,Alboran Sea,AND63,36.71,-3.39,POINT (-3.39 36.71),2015-08-18T14:00:00Z,7.0,0,0,0,0,0,132,0,13,0,0,0,0,0,6,59,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912349187,Spain,Alboran Sea,AND63,36.71,-3.39,POINT (-3.39 36.71),2015-08-18T14:00:00Z,5.5,0,0,0,0,0,84,0,16,0,0,0,0,0,13,57,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912349188,Spain,Alboran Sea,AND64,36.99,-1.89,POINT (-1.8900000000000001 36.99),2015-09-13T14:00:00Z,10.5,0,0,2048,0,11,2290,0,39,0,0,0,1,0,3,2,2,0,0,0,1,0,0,0,10,0,0,0,0,0,3,0,0,3,4,0,132,0,0,0,10,0,46,0,0,0,8,0
912349189,Spain,Alboran Sea,AND64,36.99,-1.89,POINT (-1.8900000000000001 36.99),2015-09-13T14:00:00Z,11.5,8,0,580,0,1,398,0,12,0,0,9,0,0,4,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,20,0,100,0,0,1,21,0,23,0,0,5,5,0
912349190,Spain,Alboran Sea,AND65,37.35,-1.65,POINT (-1.65 37.35),2015-09-13T14:00:00Z,9.6,0,0,0,0,0,507,0,26,0,0,10,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,10,0,0,0,0,0,1,0,4,0,0,6,17,0
912349191,Spain,Alboran Sea,AND65,37.35,-1.65,POINT (-1.65 37.35),2015-09-13T14:00:00Z,7.1,0,0,0,0,0,219,0,57,0,0,14,0,0,3,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,30,0,0,0,5,0,0,0,0,0,56,0,67,0,0,12,12,0
912349192,Spain,Alboran Sea,AND66,37.31,-1.7,POINT (-1.7 37.31),2015-09-13T14:00:00Z,8.5,0,0,2,0,0,163,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,21,4,0,0,0,0,0,1,0,0,0,1,0
912349193,Spain,Alboran Sea,AND66,37.31,-1.7,POINT (-1.7 37.31),2015-09-13T14:00:00Z,9.3,0,0,2,0,0,775,0,8,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,320,281,0,0,1,0,0,3,0,2,3,18,0
912349173,Spain,Alboran Sea,AND56,36.45,-5.05,POINT (-5.05 36.45),2015-07-03T14:00:00Z,6.7,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912349175,Spain,Saharan Upwelling,AND57,36.0,-5.61,POINT (-5.61 36),2015-07-04T14:00:00Z,8.6,0,0,330,3,4,188,0,152,8,0,0,0,0,11,39,0,0,0,0,1,0,10,1,0,0,0,0,0,0,21,0,0,10,2,0,0,7,0,0,8,0,0,22,0,16,1,0
912349176,Spain,Saharan Upwelling,AND57,36.0,-5.61,POINT (-5.61 36),2015-07-04T14:00:00Z,8.4,0,0,100,3,3,231,0,17,2,0,0,0,0,10,30,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,3,0,0,5,0,0,3,0,9,13,0,11,2,0
912349177,Spain,Saharan Upwelling,AND58,36.0,-5.61,POINT (-5.61 36),2015-07-04T14:00:00Z,9.2,0,0,180,5,0,61,0,20,4,0,0,0,0,9,27,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,12,7,0,16,0,16,3,2
912349141,Spain,Alboran Sea,AND39,36.72,-3.36,POINT (-3.36 36.72),2015-06-27T14:00:00Z,5.2,0,0,1957,0,0,699,0,36,0,0,1,4,0,1,2,3,1,0,0,0,0,8,0,0,1,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0
912349142,Spain,Alboran Sea,AND39,36.72,-3.36,POINT (-3.36 36.72),2015-06-27T14:00:00Z,5.1,0,0,1834,0,0,784,0,40,0,0,0,6,0,6,3,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,52,0
912349143,Spain,Alboran Sea,AND40,36.74,-3.33,POINT (-3.33 36.74),2015-06-28T14:00:00Z,5.0,0,0,19,0,0,804,0,18,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,8,0,1,6,400,0
912349144,Spain,Alboran Sea,AND40,36.74,-3.33,POINT (-3.33 36.74),2015-06-28T14:00:00Z,5.2,0,0,12,0,0,750,0,27,0,0,0,0,0,5,2,1,2,0,0,0,0,1,0,5,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,2,0,5,1,0,1,31,0
912349145,Spain,Alboran Sea,AND41,36.74,-3.34,POINT (-3.34 36.74),2015-06-28T14:00:00Z,3.7,0,0,5,0,0,41,0,44,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0,0,6,0
912349146,Spain,Alboran Sea,AND41,36.74,-3.34,POINT (-3.34 36.74),2015-06-28T14:00:00Z,5.0,0,0,2,0,0,99,0,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,3,0,1,1,20,0
912349147,Spain,Alboran Sea,AND42,36.75,-3.18,POINT (-3.18 36.75),2015-06-28T14:00:00Z,3.1,0,0,4,0,0,45,0,108,0,0,0,4,0,54,1,2,2,0,0,0,0,3,0,187,0,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0
912349148,Spain,Alboran Sea,AND42,36.75,-3.18,POINT (-3.18 36.75),2015-06-28T14:00:00Z,3.2,0,0,41,0,0,34,0,87,0,0,0,2,0,25,1,1,0,1,0,0,0,11,0,74,0,0,5,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,5,0
912349149,Spain,Alboran Sea,AND43,36.7,-2.85,POINT (-2.85 36.7),2015-06-28T14:00:00Z,3.3,0,0,0,0,0,0,0,16,0,0,1,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0
912349150,Spain,Alboran Sea,AND43,36.7,-2.85,POINT (-2.85 36.7),2015-06-28T14:00:00Z,3.4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,161,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,3,0,0
912349151,Spain,Alboran Sea,AND44,36.74,-3.67,POINT (-3.67 36.74),2015-06-29T14:00:00Z,5.5,0,0,110,0,0,230,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,26,0,0,5,0
